latitude,longitude
1.3408630000000001,103.83039182212079
55.7504461,37.6174943
34.0536909,-118.2427666
51.3406321,12.3747329
1.3408630000000001,103.83039182212079
30.6624205,104.0633219
31.2322758,121.4692071
55.7504461,37.6174943
48.8566969,2.3514616
59.3251172,18.0710935
30.05518,107.8748712
30.05518,107.8748712
3.1516964,101.6942371
49.2608724,-123.1139529
31.2322758,121.4692071
52.4796992,-1.9026911
28.1450774,113.2384362
55.7504461,37.6174943
31.2322758,121.4692071
20.0462328,110.1956502
44.4361414,26.1027202
50.2598987,19.0215852
14.7935004,120.95183082227442
57.7825634,14.165719
53.550341,10.000654
47.6038321,-122.3300624
30.5951051,114.2999353
22.555454,114.0543297
34.0536909,-118.2427666
55.7504461,37.6174943
25.0375198,121.5636796
14.5907332,120.9809674
31.2322758,121.4692071
50.4500336,30.5241361
31.2322758,121.4692071
31.2322758,121.4692071
43.5116383,16.4399659
31.60699625,119.43064724252113
3.4237725,101.7935591
38.4852037,106.2261926
42.3602534,-71.0582912
34.0536909,-118.2427666
45.4972159,-73.6103642
24.4801069,118.0853479
47.6038321,-122.3300624
34.0536909,-118.2427666
34.0536909,-118.2427666
31.2322758,121.4692071
50.1106444,8.6820917
14.5907332,120.9809674
55.7504461,37.6174943
50.4500336,30.5241361
14.5907332,120.9809674
50.4500336,30.5241361
43.5116383,16.4399659
31.2322758,121.4692071
31.4933074,120.3074357
53.902334,27.5618791
38.4852037,106.2261926
34.0536909,-118.2427666
50.1106444,8.6820917
1.3408630000000001,103.83039182212079
29.9499323,-90.0701156
40.7127281,-74.0060152
47.6038321,-122.3300624
50.1106444,8.6820917
57.7825634,14.165719
30.2711286,-97.7436995
31.2322758,121.4692071
31.2322758,121.4692071
34.0536909,-118.2427666
52.5015217,13.4025498
44.4361414,26.1027202
39.9622601,-83.0007065
31.2322758,121.4692071
50.4500336,30.5241361
31.2322758,121.4692071
36.1672559,-115.1485163
34.0536909,-118.2427666
57.7825634,14.165719
44.4361414,26.1027202
31.3869323,120.9764683
55.7504461,37.6174943
50.4500336,30.5241361
40.7127281,-74.0060152
38.4852037,106.2261926
31.2322758,121.4692071
30.2489634,120.2052342
47.6038321,-122.3300624
50.1106444,8.6820917
57.7825634,14.165719
34.0536909,-118.2427666
31.2322758,121.4692071
31.9092756,120.2630426
55.7504461,37.6174943
50.4500336,30.5241361
37.5666791,126.9782914
31.2322758,121.4692071
50.4500336,30.5241361
36.1672559,-115.1485163
40.190632,116.412144
31.2322758,121.4692071
37.5666791,126.9782914
50.126498049999995,19.006784585824853
57.7825634,14.165719
39.9622601,-83.0007065
37.5666791,126.9782914
48.8566969,2.3514616
50.4500336,30.5241361
47.6038321,-122.3300624
39.4697065,-0.3763353
40.190632,116.412144
35.000074,104.999927
50.4500336,30.5241361
31.2322758,121.4692071
57.7825634,14.165719
31.2322758,121.4692071
50.2598987,19.0215852
50.4500336,30.5241361
31.2322758,121.4692071
55.7504461,37.6174943
31.2322758,121.4692071
50.2598987,19.0215852
50.4500336,30.5241361
50.4500336,30.5241361
59.3251172,18.0710935
57.7825634,14.165719
27.9511188,116.3530413
50.4500336,30.5241361
47.6038321,-122.3300624
50.4500336,30.5241361
50.4500336,30.5241361
31.3869323,120.9764683
48.8566969,2.3514616
57.7825634,14.165719
50.4500336,30.5241361
50.938361,6.959974
48.8566969,2.3514616
